"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"sd_change_arm1";"n_change_arm1";"mean_change_arm2";"sd_change_arm2";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"rand_ratio";"year";"time_weeks";"time";"comorbid_mental";"format";"format_details";"country";"age_group";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"n_sessions_arm1";"mean_age";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_ref";".id"
"392";"Losada, 2015";"cbt";"other ctr";"cbt (cbt)";"other ctr";0,783077302504579;0,219336657854486;"msd";"ces-d";"self-report";16,3;11,08;42;25,23;11,5;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27,88;9,656;42;28,1;9,63;48;45;48;12;17;1;2015;8;"post";"n";"ind";"ind";"eu";"old";0,84;"com";"cut";"oth";1;0;"sr";0;2;8;61,83;NA;NA;NA;NA;NA;NA;"Losada A, Márquez-González M, Romero-Moreno R, Mausbach BT, López J, Fernández-Fernández V, et al. Cognitive–behavioral therapy (CBT) versus acceptance and commitment therapy (ACT) for dementia family caregivers with significant depressive symptoms: Results of a randomized clinical trial. Journal of Consulting and Clinical Psychology. 2015;83(4):760-72.";"Losada_2015_msd_ces-d_post_NA_self-report_cbt_otherctr_cbt(cbt)_otherctr"
"393";"Losada, 2015";"3rd";"other ctr";"3rd wave (act)";"other ctr";0,918600019652254;0,218330440287831;"msd";"ces-d";"self-report";14,83;10,93;45;25,23;11,5;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28,18;9,659;45;28,1;9,63;48;42;48;12;17;1;2015;8;"post";"n";"ind";"ind";"eu";"old";0,84;"com";"cut";"oth";1;0;"sr";0;2;8;61,83;NA;NA;NA;NA;NA;NA;"Losada A, Márquez-González M, Romero-Moreno R, Mausbach BT, López J, Fernández-Fernández V, et al. Cognitive–behavioral therapy (CBT) versus acceptance and commitment therapy (ACT) for dementia family caregivers with significant depressive symptoms: Results of a randomized clinical trial. Journal of Consulting and Clinical Psychology. 2015;83(4):760-72.";"Losada_2015_msd_ces-d_post_NA_self-report_3rd_otherctr_3rdwave(act)_otherctr"
"394";"Lovell, 2008";"cbt";"cau";NA;NA;0,0897356635364092;0,316789211770438;"msd";"phq-9";"self-report";10,21;7,3;19;10,81;5,8;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,96;5,7;29;14,79;5,1;29;29;30;10;7;1;2008;13;"post";"n";"ind";"ind";"uk";"adul";0,74;"clin";"cut";"adul";0;1;"sr";1;3;4;37,6;NA;NA;NA;NA;NA;NA;"Lovell K, Bower P, Richards D, Barkham Mi, Sibbald B, Roberts C, et al. Developing guided self-help for depression using the medical research council complex interventions framework: A description of the modelling phase and results of an exploratory randomised controlled trial. BMC psychiatry. 2008;8.";"Lovell_2008_msd_phq-9_post_NA_self-report_cbt_cau_NA_NA"
"395";"Lovell, 2008";"cbt";"cau";NA;NA;0,27290135358518;0,311497796078637;"msd";"bdi-2";"self-report";18,74;12,96;19;22,26;12,4;23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27,97;8,4;29;29,97;8,1;29;29;30;10;7;1;2008;13;"post";"n";"ind";"ind";"uk";"adul";0,74;"clin";"cut";"adul";0;1;"sr";1;3;4;37,6;NA;NA;NA;NA;NA;NA;"Lovell K, Bower P, Richards D, Barkham Mi, Sibbald B, Roberts C, et al. Developing guided self-help for depression using the medical research council complex interventions framework: A description of the modelling phase and results of an exploratory randomised controlled trial. BMC psychiatry. 2008;8.";"Lovell_2008_msd_bdi-2_post_NA_self-report_cbt_cau_NA_NA"
"396";"Lund, 2020";"other psy";"cau";NA;NA;0,0398455800969148;0,118208209503333;"msd";"hdrs-17";"clinician";12,6;5,51;133;12,8;4,53;155;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,7;4,82;184;15,5;4,69;200;209;216;76;61;1;2020;17;"post";"n";"ind";"ind";"oth";"adul";1;"oth";"cut";"ppd";1;1;"1";1;4;6;27;NA;NA;NA;NA;NA;NA;"Lund, C., Schneider, M., Garman, E. C., Davies, T., Munodawafa, M., Honikman, S., . . . Susser, E. (2019). Task-sharing of psychological treatment for antenatal depression in Khayelitsha, South Africa: Effects on antenatal and postnatal outcomes in an individual randomised controlled trial. Behaviour Research and. doi:10.1016/j.brat.2019.103466";"Lund_2020_msd_hdrs_post_NA_clinician_otherpsy_cau_NA_NA"
"397";"Lundgren, 2016";"cbt";"wl";NA;NA;0,265276714488291;0,284123838513423;"msd";"phq-9";"self-report";8,6;4,6;25;9,8;4,3;25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,8;5,7;25;10,6;5;25;25;25;4;5;1;2016;9;"post";"n";"gsh";"gsh";"eu";"old";0,42;"oth";"cut";"med";1;1;"sr";1;4;4;62,9;NA;NA;NA;NA;NA;NA;"Lundgren JG, Dahlstrom O, Andersson G, Jaarsma T, Karner Kohler A, Johansson P. The effect of guided web-based cognitive behavioral therapy on patients with depressive symptoms and heart failure: A pilot randomized controlled trial. Journal of Medical Internet Research. 2016;18(8):e194.";"Lundgren_2016_msd_phq-9_post_0_self-report_cbt_otherctr_NA_NA"
"398";"Lustman, 1998";"cbt";"cau";NA;NA;0,845833995003091;0,333146651330055;"response (50%)";"bdi-1";"self-report";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"ITT Improvement (a decrease of at least 50% in the BDI score)";16;8;24;27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;26;5;4;1;1998;10;"post";"n";"ind";"ind";"us";"old";0,6;"com";"mdd";"med";1;1;"sr";1;4;10;54,83;0,810930216216329;0,329842835751053;16;8;24;27;"Lustman PJ, Griffith LS, Freedland KE, Kissel SS, Clouse RE. Cognitive behavior therapy for depression in type 2 diabetes mellitus. A randomized, controlled trial. Annals of Internal Medicine. 1998;129(8):613-21.";"Lustman_1998_response(50%)_bdi-1_post_NA_self-report_cbt_cau_NA_NA"
"399";"Lynch, 1997";"pst";"cau";NA;NA;0,929958266602528;0,431102424835793;"other statistic";"hdrs-17";"clinician";10,9;NA;11;13,3;NA;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,929958266602528;0,431102424835793;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;14;8;5;1;1997;NA;"post";"n";"tel";"tel";"us";"adul";0,86;"clin";"sub";"adul";0;0;"1";0;1;6;48,3;NA;NA;NA;NA;NA;NA;"Lynch DJ, Tamburrino MB, Nagel R. Telephone counseling for patients with minor depression: Preliminary findings in a family practice setting. The Journal of family practice. 1997;44(3):293-8.";"Lynch_1997_otherstatistic_hdrs_post_NA_clinician_pst_cau_NA_NA"
"400";"Lynch, 2004";"pst";"other ctr";"pst (pst)";"other ctr";-0,291803031758965;0,474162325193993;"msd";"dhp-d";"self-report";38,9;19;9;32,2;24,4;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;18;9;9;1;2004;NA;"post";"n";"tel";"tel";"us";"adul";0,83;"clin";"cut";"adul";0;0;"sr";0;1;6;38,5;NA;NA;NA;NA;NA;NA;"Lynch D, Tamburrino M, Nagel R, Smith MK. Telephone-based treatment for family practice patients with mild depression. Psychological reports. 2004;94(3 Pt 1):785-92.";"Lynch_2004_msd_dhp-d_post_NA_self-report_pst_otherctr_pst(pst)_otherctr"
"401";"Lynch, 2004";"pst";"cau";"pst (pst)";"cau";-0,0626740229619077;0,43374030078465;"msd";"dhp-d";"self-report";38,9;19;9;37,5;23;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;18;9;5;1;2004;NA;"post";"n";"tel";"tel";"us";"adul";0,83;"clin";"cut";"adul";0;0;"sr";0;1;6;38,5;NA;NA;NA;NA;NA;NA;"Lynch D, Tamburrino M, Nagel R, Smith MK. Telephone-based treatment for family practice patients with mild depression. Psychological reports. 2004;94(3 Pt 1):785-92.";"Lynch_2004_msd_dhp-d_post_NA_self-report_pst_cau_pst(pst)_cau"
"402";"Lynch, 2004";"pst";"cau";"pst (pst)";"cau";0,0970298218282858;0,433895593911266;"msd";"bdi-1";"self-report";9;5,4;9;9,7;7,8;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;18;9;5;1;2004;NA;"post";"n";"tel";"tel";"us";"adul";0,83;"clin";"cut";"adul";0;0;"sr";0;1;6;38,5;NA;NA;NA;NA;NA;NA;"Lynch D, Tamburrino M, Nagel R, Smith MK. Telephone-based treatment for family practice patients with mild depression. Psychological reports. 2004;94(3 Pt 1):785-92.";"Lynch_2004_msd_bdi-1_post_NA_self-report_pst_cau_pst(pst)_cau"
"403";"Lynch, 2004";"pst";"other ctr";"pst (pst)";"other ctr";0,436751832204673;0,477560474926559;"msd";"bdi-1";"self-report";9;5,4;9;12,6;9,7;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18;18;9;9;1;2004;NA;"post";"n";"tel";"tel";"us";"adul";0,83;"clin";"cut";"adul";0;0;"sr";0;1;6;38,5;NA;NA;NA;NA;NA;NA;"Lynch D, Tamburrino M, Nagel R, Smith MK. Telephone-based treatment for family practice patients with mild depression. Psychological reports. 2004;94(3 Pt 1):785-92.";"Lynch_2004_msd_bdi-1_post_NA_self-report_pst_otherctr_pst(pst)_otherctr"
"404";"Lynch, 2020";"other psy";"cau";NA;NA;0,43048772836152;0,157810206503026;"msd";"phq-9";"self-report";13,42;7,47;121;16,56;6,84;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,99;5,14;162;19,69;4,78;88;162;88;38;22;3;2020;30;"post";"n";"oth";"oth (ind+grp)";"uk";"adul";0,66;"clin";"chr";"adul";1;1;"sr";1;4;43;NA;NA;NA;NA;NA;NA;NA;"Lynch, T. R., Hempel, R. J., Whalley, B., Byford, S., Chamba, R., Clarke, P., . . . Russell, I. T. (2019). Refractory depression - mechanisms and efficacy of radically open dialectical behaviour therapy (RefraMED): findings of a randomised trial on benefits and harms. The British journal of psychiatry : the journal of mental science, 1-9. doi:10.1192/bjp.2019.53";"Lynch_2020_msd_phq-9_post_1_self-report_otherpsy_cau_NA_NA"
"405";"Lynch, 2020";"other psy";"cau";NA;NA;0,452267911324546;0,157977946529677;"msd";"hdrs-17";"clinician";15,97;8,8;121;19,74;7,22;62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,96;5,27;162;23,48;5,2;88;162;88;38;22;3;2020;30;"post";"n";"oth";"oth (ind+grp)";"uk";"adul";0,66;"clin";"chr";"adul";1;1;"1";1;4;43;NA;NA;NA;NA;NA;NA;NA;"Lynch, T. R., Hempel, R. J., Whalley, B., Byford, S., Chamba, R., Clarke, P., . . . Russell, I. T. (2019). Refractory depression - mechanisms and efficacy of radically open dialectical behaviour therapy (RefraMED): findings of a randomised trial on benefits and harms. The British journal of psychiatry : the journal of mental science, 1-9. doi:10.1192/bjp.2019.53";"Lynch_2020_msd_hdrs_post_1_clinician_otherpsy_cau_NA_NA"
"406";"MacLean, 2020";"other psy";"other ctr";NA;NA;0,170454545454545;0,207784861922408;"msd";"phq-9";"self-report";11,3;6,4;47;12,4;6,4;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,9;6;47;15,4;5,4;48;47;48;4;8;1;2020;12;"post";"n";"gsh";"gsh";"can";"adul";0,83;"clin";"cut";"adul";0;1;"sr";1;3;9;43,5;NA;NA;NA;NA;NA;NA;"MacLean S, Corsi DJ, Litchfield S, et al. Coach-facilitated web-based therapy compared with information about web-based resources in patients referred to secondary mental health care for depression: Randomized controlled trial. Journal of Medical Internet Research. 2020;22(6).";"MacLean_2020_msd_phq-9_post_12_self-report_otherpsy_otherctr_NA_NA"
"407";"MacPherson, 2013";"sup";"cau";NA;NA;0,181047664117501;0,106805038497342;"msd";"bdi-2";"self-report";21,4;13,64;211;23,8;12,63;151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,3;9,11;302;31,8;8,17;151;302;151;65;23;2;2013;12;"post";"n";"ind";"ind";"uk";"adul";0,73;"clin";"cut";"adul";1;1;"sr";1;4;8;43,5;NA;NA;NA;NA;NA;NA;"MacPherson H, Richmond S, Bland M, Brealey S, Gabe R, Hopton A, et al. Acupuncture and counselling for depression in primary care: A randomised controlled trial. PLoS medicine. 2013;10(9):e1001518.";"MacPherson_2013_msd_bdi-2_post_NA_self-report_sup_cau_NA_NA"
"408";"MacPherson, 2013";"sup";"cau";NA;NA;0,27819068221913;0,110174238351133;"msd";"phq-9";"self-report";10,9;6,45;237;12,7;6,47;128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,6;5,27;302;16,2;5,09;151;302;151;65;23;2;2013;12;"post";"n";"ind";"ind";"uk";"adul";0,73;"clin";"cut";"adul";1;1;"sr";1;4;8;43,5;NA;NA;NA;NA;NA;NA;"MacPherson H, Richmond S, Bland M, Brealey S, Gabe R, Hopton A, et al. Acupuncture and counselling for depression in primary care: A randomised controlled trial. PLoS medicine. 2013;10(9):e1001518.";"MacPherson_2013_msd_phq-9_post_NA_self-report_sup_cau_NA_NA"
"409";"Mahmoodi, 2021";"cbt";"wl";"cbt (CBT-P)";"wl";1,14275960206214;0,335052162035062;"msd";"bdi-2";"self-report";16,35;5,82;23;24;7,38;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,43;9,99;23;23,79;7,53;19;25;25;2;6;1;2021;12;"post";"y";"ind";"ind";"oth";"adul";0,53;"clin";"cut";"adul";1;1;"1";0;3;12;27;NA;NA;NA;NA;NA;NA;"Mahmoodi, M., Bakhtiyari, M., Masjedi Arani, A., Mohammadi, A., & Saberi Isfeedvajani, M. (2021). The comparison between CBT focused on perfectionism and CBT focused on emotion regulation for individuals with depression and anxiety disorders and dysfunctional perfectionism: A randomized controlled trial. Behavioural and Cognitive Psychotherapy, 49(4), 454-471. https://doi.org/10.1017/S1352465820000909 
";"Mahmoodi_2021_msd_bdi-2_post_12_self-report_cbt_wl_cbt(CBT-P)_wl"
"410";"Mahmoodi, 2021";"cbt";"wl";"cbt (UP)";"wl";1,33260896662749;0,347283883271943;"msd";"bdi-2";"self-report";15,14;5,68;22;24;7,38;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,77;9,19;22;23,79;7,53;19;25;25;3;6;1;2021;12;"post";"y";"ind";"ind";"oth";"adul";0,53;"clin";"cut";"adul";1;1;"1";0;3;12;27;NA;NA;NA;NA;NA;NA;"Mahmoodi, M., Bakhtiyari, M., Masjedi Arani, A., Mohammadi, A., & Saberi Isfeedvajani, M. (2021). The comparison between CBT focused on perfectionism and CBT focused on emotion regulation for individuals with depression and anxiety disorders and dysfunctional perfectionism: A randomized controlled trial. Behavioural and Cognitive Psychotherapy, 49(4), 454-471. https://doi.org/10.1017/S1352465820000909 
";"Mahmoodi_2021_msd_bdi-2_post_12_self-report_cbt_wl_cbt(UP)_wl"
"411";"Maina, 2005";"dyn";"wl";"dyn (dynamic therapy)";"wl";1,08812780194462;0,481943959244485;"msd";"hdrs-17";"clinician";8,9;3,3;10;12;2;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12,6;2,4;10;11,8;2,3;10;10;10;0;0;1;2005;NA;"post";"n";"ind";"ind";"eu";"adul";0,63;"clin";"mood";"adul";0;0;"1";1;2;20;36,8;NA;NA;NA;NA;NA;NA;"Maina G, Forner F, Bogetto F. Randomized controlled trial comparing brief dynamic and supportive therapy with waiting list condition in minor depressive disorders. Psychotherapy and Psychosomatics. 2005;74(1):43-50.";"Maina_2005_msd_hdrs_post_NA_clinician_dyn_wl_dyn(dynamictherapy)_wl"
"412";"Maina, 2005";"sup";"wl";"sup (supportive therapy)";"wl";1,15345571665039;0,486066949888979;"msd";"hdrs-17";"clinician";9;2,9;10;12;2;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,5;2,7;10;11,8;2,3;10;10;10;0;0;1;2005;NA;"post";"n";"ind";"ind";"eu";"adul";0,63;"clin";"mood";"adul";0;0;"1";1;2;19;36,8;NA;NA;NA;NA;NA;NA;"Maina G, Forner F, Bogetto F. Randomized controlled trial comparing brief dynamic and supportive therapy with waiting list condition in minor depressive disorders. Psychotherapy and Psychosomatics. 2005;74(1):43-50.";"Maina_2005_msd_hdrs_post_NA_clinician_sup_wl_sup(supportivetherapy)_wl"
"413";"Majidzadeh, 2023";"cbt";"cau";NA;NA;4,8607896576852;0,436891371920846;"msd";"bdi-2";"self-report";6,7;4,3;42;24,5;2,8;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,4;5;42;23,3;3,2;42;42;42;0;0;1;2023;8;"post";"y";"grp";"ftf(grp)";"oth";"adul";1;"oth";"cut";"med";1;1;"sr";1;4;8;31,15;NA;NA;NA;NA;NA;NA;"Majidzadeh S, Mirghafourvand M, Farvareshi M, Yavarikia P. The effect of cognitive behavioral therapy on depression and anxiety of women with polycystic ovary syndrome: a randomized controlled trial. BMC Psychiatry. 2023;23(1):332.";NA
"414";"Malouff, 1988";"pst";"wl";"pst (pst)";"wl";1,00715423338322;0,395736943663307;"msd";"bdi-1";"self-report";10;6,88;15;18,12;8,75;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,13;6,08;15;20,31;6,68;14;20;18;5;4;1;1988;5;"post";"n";"grp";"grp";"us";"adul";0,66;"com";"cut";"oth";0;0;"sr";0;1;4;39,08;NA;NA;NA;NA;NA;NA;"Malouff JM, Lanyon RI, Schutte NS. Effectiveness of a brief group RET treatment for divorce-related dysphoria. Journal of Rational-Emotive and Cognitive-Behavior Therapy. 1988;6(3):162-71.";"Malouff_1988_msd_bdi-1_post_NA_self-report_pst_wl_pst(pst)_wl"
"415";"Malouff, 1988";"cbt";"wl";"cbt (ret)";"wl";1,27132967680491;0,416505671098091;"msd";"poms-d";"self-report";0,8;0,58;14;1,73;0,82;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,17;0,74;14;1,85;0,98;14;15;18;1;4;1;1988;5;"post";"n";"grp";"grp";"us";"adul";0,66;"com";"cut";"oth";0;0;"sr";0;1;4;39,08;NA;NA;NA;NA;NA;NA;"Malouff JM, Lanyon RI, Schutte NS. Effectiveness of a brief group RET treatment for divorce-related dysphoria. Journal of Rational-Emotive and Cognitive-Behavior Therapy. 1988;6(3):162-71.";"Malouff_1988_msd_poms-d_post_NA_self-report_cbt_wl_cbt(ret)_wl"
"416";"Malouff, 1988";"pst";"wl";"pst (pst)";"wl";1,39841942368005;0,416875687955183;"msd";"poms-d";"self-report";0,75;0,52;15;1,73;0,82;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,08;0,68;15;1,85;0,98;14;20;18;5;4;1;1988;5;"post";"n";"grp";"grp";"us";"adul";0,66;"com";"cut";"oth";0;0;"sr";0;1;4;39,08;NA;NA;NA;NA;NA;NA;"Malouff JM, Lanyon RI, Schutte NS. Effectiveness of a brief group RET treatment for divorce-related dysphoria. Journal of Rational-Emotive and Cognitive-Behavior Therapy. 1988;6(3):162-71.";"Malouff_1988_msd_poms-d_post_NA_self-report_pst_wl_pst(pst)_wl"
"417";"Malouff, 1988";"cbt";"wl";"cbt (ret)";"wl";1,49623324559694;0,43042859875934;"msd";"bdi-1";"self-report";7,26;4,77;14;18,12;8,75;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,13;6,11;14;20,31;6,68;14;15;18;1;4;1;1988;5;"post";"n";"grp";"grp";"us";"adul";0,66;"com";"cut";"oth";0;0;"sr";0;1;4;39,08;NA;NA;NA;NA;NA;NA;"Malouff JM, Lanyon RI, Schutte NS. Effectiveness of a brief group RET treatment for divorce-related dysphoria. Journal of Rational-Emotive and Cognitive-Behavior Therapy. 1988;6(3):162-71.";"Malouff_1988_msd_bdi-1_post_NA_self-report_cbt_wl_cbt(ret)_wl"
"418";"Mansour, 2022";"cbt";"other ctr";NA;NA;0,38773431066438;0,230573481357944;"msd";"bdi-2";"self-report";12,78;7,78;41;15,89;8,12;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;6,16;50;19;6,24;50;50;50;9;14;1;2022;13;"post";"n";"ind";"ind";"oth";"adul";0,69;"oth";"cut";"med";1;1;"sr";1;4;4;NA;NA;NA;NA;NA;NA;NA;"Mansour, N., Labib, N., Khalil, M., & Esmat, S. (2022). Brief Cognitive Behavioral Therapy for Patients with Comorbid Depression and Type 2 Diabetes in an Urban Primary Care Facility: Randomized Controlled Trial. Open Access Macedonian Journal of Medical Sciences, 10, 60-67. doi:10.3889/oamjms.2022.7883";"Mansour_2022_msd_bdi-2_post_12_self-report_cbt_otherctr_NA_NA"
"419";"Martin, 2015";"cbt";"wl";NA;NA;1,16837174843768;0,331816556940746;"msd";"phq-9";"self-report";6,67;4,56;18;12,62;5,28;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,31;5;36;17,47;4,88;30;36;30;18;5;1;2015;30;"post";"n";"ind";"ind";"au";"adul";0,74;"com";"mdd";"med";1;1;"sr";0;3;12;40,64;NA;NA;NA;NA;NA;NA;"Martin PR, Aiello R, Gilson K, Meadows G, Milgrom J, Reece J. Cognitive behavior therapy for comorbid migraine and/or tension-type headache and major depressive disorder: An exploratory randomized controlled trial. Behaviour Research and Therapy. 2015;73:8-18.";"Martin_2015_msd_phq-9_post_7months_self-report_cbt_wl_NA_NA"
"420";"Martin, 2015";"cbt";"wl";NA;NA;1,67882898886381;0,356689781295747;"msd";"bdi-2";"self-report";13,11;8,64;18;28,73;9,46;26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30,58;8,1;36;33,17;9,45;30;36;30;18;5;1;2015;30;"post";"n";"ind";"ind";"au";"adul";0,74;"com";"mdd";"med";1;1;"sr";0;3;12;40,64;NA;NA;NA;NA;NA;NA;"Martin PR, Aiello R, Gilson K, Meadows G, Milgrom J, Reece J. Cognitive behavior therapy for comorbid migraine and/or tension-type headache and major depressive disorder: An exploratory randomized controlled trial. Behaviour Research and Therapy. 2015;73:8-18.";"Martin_2015_msd_bdi-2_post_7months_self-report_cbt_wl_NA_NA"
"421";"Matsuzaka, 2017";"ipt";"cau";NA;NA;-0,0406451109479119;0,225059300806563;"msd";"hdrs-17";"clinician";13,31;7,08;39;13,03;6,56;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,3;5,83;43;15,93;5,56;43;43;43;4;3;1;2017;NA;"post";"n";"ind";"ind";"oth";"adul";0,94;"clin";"mood";"adul";1;1;"1";1;4;4;43,84;NA;NA;NA;NA;NA;NA;"Matsuzaka, C., Wainberg, M., Norcini, P. A., Hoffmann, E., Coimbra, B., Braga, R., . . . Mello, M. (2017). Task shifting interpersonal counseling for depression: a pragmatic randomized controlled trial in primary care. BMC Psychiatry, 17(1)";"Matsuzaka_2017_msd_hdrs_post_NA_clinician_ipt_cau_NA_NA"
"422";"Matsuzaka, 2017";"ipt";"cau";NA;NA;0,0732883387773034;0,225112626735683;"msd";"phq-9";"self-report";11,36;6,98;39;11,83;5,67;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,58;5,16;43;16,02;4,89;43;43;43;4;3;1;2017;NA;"post";"n";"ind";"ind";"oth";"adul";0,94;"clin";"mood";"adul";1;1;"sr";1;4;4;43,84;NA;NA;NA;NA;NA;NA;"Matsuzaka, C., Wainberg, M., Norcini, P. A., Hoffmann, E., Coimbra, B., Braga, R., . . . Mello, M. (2017). Task shifting interpersonal counseling for depression: a pragmatic randomized controlled trial in primary care. BMC Psychiatry, 17(1)";"Matsuzaka_2017_msd_phq-9_post_NA_self-report_ipt_cau_NA_NA"
"423";"McClay, 2015";"cbt";"wl";NA;NA;0,845921709242889;0,448225253946286;"change";"phq-9";"self-report";NA;NA;NA;NA;NA;NA;-7,49;6,03;12;-2,14;6,15;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27;26;15;16;1;2015;13;"post";"n";"grp";"grp";"uk";"adul";0,65;"com";"cut";"adul";0;1;"sr";0;2;4;43,7;NA;NA;NA;NA;NA;NA;"McClay CA, Collins K, Matthews L, Haig C, McConnachie A, Morrison J, et al. A community-based pilot randomised controlled study of life skills classes for individuals with low mood and depression. BMC psychiatry. 2015;15:17.";"McClay_2015_change_phq-9_post_NA_self-report_cbt_wl_NA_NA"
"424";"McCusker, 2021";"cbt";"wl";NA;NA;0,450260793906291;0,142168339449407;"msd";"ces-d";"self-report";17,8;9,7;100;22,3;10,2;103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,9;8,5;121;24,9;10;124;121;124;21;6;1;2021;13;"post";"n";"gsh";"gsh";"can";"old";0,79;"com";"cut";"med";1;0;"1";1;3;8;58;NA;NA;NA;NA;NA;NA;"McCusker, J., Jones, J. M., Li, M., Faria, R., Yaffe, M. J., Lambert, S. D., Ciampi, A., Belzile, E., & de Raad, M. (2021). CanDirect: Effectiveness of a Telephone-Supported Depression Self-Care Intervention for Cancer Survivors. J Clin Oncol, 39(10), 1150-1161. https://doi.org/10.1200/jco.20.01802 
";"McCusker_2021_msd_ces-d_post_13_self-report_cbt_wl_NA_NA"
"425";"McIndoo, 2016";"3rd";"wl";"3rd wave (mbt)";"wl";0,70780057332753;0,35938384352052;"msd";"bdi-2";"self-report";16,5;12,8;20;25,5;11,83;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29,67;9,81;20;30,17;13,16;14;20;14;2;1;1;2016;13;"post";"n";"ind";"ind";"us";"yadul";0,62;"com";"cut";"stud";1;0;"sr";1;3;4;19,2;NA;NA;NA;NA;NA;NA;"McIndoo CC, File AA, Preddy T, Clark CG, Hopko DR. Mindfulness-based therapy and behavioral activation: A randomized controlled trial with depressed college students. Behaviour Research and Therapy. 2016;77:118-28.";"McIndoo_2016_msd_bdi-2_post_3months_self-report_3rd_wl_3rdwave(mbt)_wl"
